Date,Time,Global_active_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_4,Season,Anomaly_flag
01-01-2024,00:00,0.98,231.6,4.24,343.0,294.0,245.0,98.0,winter,0
01-01-2024,00:15,0.99,229.1,4.32,346.0,297.0,248.0,99.0,winter,0
01-01-2024,00:30,1.06,231.0,4.61,373.0,320.0,266.0,106.0,winter,0
01-01-2024,00:45,0.95,230.4,4.14,334.0,286.0,238.0,95.0,winter,0
01-01-2024,01:00,0.96,231.5,4.13,335.0,287.0,239.0,96.0,winter,0
01-01-2024,01:15,0.84,228.7,3.68,294.0,252.0,210.0,84.0,winter,0
01-01-2024,01:30,0.88,230.0,3.83,308.0,264.0,220.0,88.0,winter,0
01-01-2024,01:45,0.93,228.7,4.06,325.0,278.0,232.0,93.0,winter,0
01-01-2024,02:00,1.02,233.2,4.36,356.0,305.0,254.0,102.0,winter,0
01-01-2024,02:15,0.89,228.5,3.89,312.0,267.0,222.0,89.0,winter,0
01-01-2024,02:30,0.98,232.6,4.2,342.0,293.0,244.0,98.0,winter,0
01-01-2024,02:45,1.09,232.7,4.68,381.0,326.0,272.0,109.0,winter,0
01-01-2024,03:00,0.98,229.7,4.28,344.0,295.0,246.0,98.0,winter,0
01-01-2024,03:15,0.99,231.9,4.27,346.0,297.0,247.0,99.0,winter,0
01-01-2024,03:30,1.03,230.4,4.48,362.0,310.0,258.0,103.0,winter,0
01-01-2024,03:45,0.23,229.7,3.94,82.0,71.0,59.0,24.0,winter,1
01-01-2024,04:00,1.21,229.6,5.25,422.0,362.0,302.0,121.0,winter,0
01-01-2024,04:15,0.97,230.9,4.18,338.0,290.0,242.0,97.0,winter,0
01-01-2024,04:30,0.92,228.6,4.01,321.0,275.0,229.0,92.0,winter,0
01-01-2024,04:45,0.97,228.2,4.27,341.0,292.0,244.0,98.0,winter,0
01-01-2024,05:00,0.97,231.3,4.2,340.0,292.0,243.0,97.0,winter,0
01-01-2024,05:15,0.82,230.5,3.57,288.0,247.0,206.0,82.0,winter,0
01-01-2024,05:30,1.19,234.1,5.08,416.0,357.0,297.0,119.0,winter,0
01-01-2024,05:45,0.88,229.7,3.81,306.0,262.0,219.0,88.0,winter,0
01-01-2024,06:00,2.39,231.6,10.32,836.0,717.0,597.0,239.0,winter,0
01-01-2024,06:15,2.12,234.9,9.01,741.0,635.0,529.0,212.0,winter,0
01-01-2024,06:30,2.15,229.8,9.37,754.0,646.0,538.0,215.0,winter,0
01-01-2024,06:45,2.48,229.5,10.82,869.0,745.0,621.0,248.0,winter,0
01-01-2024,07:00,1.85,228.2,8.1,647.0,555.0,462.0,185.0,winter,0
01-01-2024,07:15,2.6,231.2,11.26,911.0,781.0,650.0,260.0,winter,0
01-01-2024,07:30,2.7,228.9,11.81,946.0,811.0,676.0,270.0,winter,0
01-01-2024,07:45,2.17,230.3,9.42,759.0,650.0,542.0,217.0,winter,0
01-01-2024,08:00,2.47,227.5,10.86,865.0,741.0,618.0,247.0,winter,0
01-01-2024,08:15,1.79,233.1,7.68,626.0,537.0,447.0,179.0,winter,0
01-01-2024,08:30,2.63,234.9,11.19,920.0,788.0,657.0,263.0,winter,0
01-01-2024,08:45,2.82,231.4,12.19,987.0,846.0,705.0,282.0,winter,0
01-01-2024,09:00,1.71,232.2,7.34,597.0,512.0,426.0,170.0,winter,0
01-01-2024,09:15,1.82,225.1,8.08,636.0,545.0,454.0,182.0,winter,0
01-01-2024,09:30,1.44,227.1,6.33,503.0,431.0,359.0,144.0,winter,0
01-01-2024,09:45,0.39,231.7,7.15,136.0,116.0,97.0,39.0,winter,1
01-01-2024,10:00,1.63,228.1,7.13,569.0,488.0,407.0,163.0,winter,0
01-01-2024,10:15,1.35,230.7,5.86,473.0,405.0,338.0,135.0,winter,0
01-01-2024,10:30,1.36,233.2,5.82,475.0,407.0,340.0,136.0,winter,0
01-01-2024,10:45,5.63,233.0,7.74,1969.0,1688.0,1406.0,563.0,winter,1
01-01-2024,11:00,1.42,231.1,6.16,498.0,427.0,356.0,142.0,winter,0
01-01-2024,11:15,1.38,232.6,5.92,482.0,413.0,344.0,138.0,winter,0
01-01-2024,11:30,1.75,230.9,7.57,612.0,524.0,437.0,175.0,winter,0
01-01-2024,11:45,1.48,230.4,6.43,519.0,445.0,370.0,148.0,winter,0
01-01-2024,12:00,1.75,230.5,7.6,613.0,526.0,438.0,175.0,winter,0
01-01-2024,12:15,1.33,229.0,5.8,465.0,398.0,332.0,133.0,winter,0
01-01-2024,12:30,1.24,231.6,5.36,435.0,373.0,310.0,124.0,winter,0
01-01-2024,12:45,1.92,229.1,8.39,672.0,576.0,480.0,192.0,winter,0
01-01-2024,13:00,1.53,231.9,6.6,536.0,459.0,383.0,153.0,winter,0
01-01-2024,13:15,1.66,231.6,7.15,580.0,497.0,414.0,166.0,winter,0
01-01-2024,13:30,1.51,232.0,6.52,529.0,454.0,378.0,151.0,winter,0
01-01-2024,13:45,1.33,228.5,5.82,465.0,399.0,332.0,133.0,winter,0
01-01-2024,14:00,1.33,231.2,5.74,464.0,398.0,332.0,133.0,winter,0
01-01-2024,14:15,2.14,232.3,9.2,748.0,641.0,534.0,214.0,winter,0
01-01-2024,14:30,1.92,231.8,8.28,672.0,576.0,480.0,192.0,winter,0
01-01-2024,14:45,1.74,227.5,7.66,610.0,523.0,436.0,174.0,winter,0
01-01-2024,15:00,1.51,226.5,6.69,530.0,454.0,379.0,152.0,winter,0
01-01-2024,15:15,5.43,229.6,6.53,1901.0,1629.0,1358.0,543.0,winter,1
01-01-2024,15:30,1.79,231.2,7.75,627.0,538.0,448.0,179.0,winter,0
01-01-2024,15:45,1.59,227.1,6.99,556.0,476.0,397.0,159.0,winter,0
01-01-2024,16:00,1.7,230.4,7.36,594.0,509.0,424.0,170.0,winter,0
01-01-2024,16:15,1.73,231.7,7.47,606.0,519.0,433.0,173.0,winter,0
01-01-2024,16:30,1.64,228.7,7.18,575.0,493.0,411.0,164.0,winter,0
01-01-2024,16:45,1.66,229.7,7.22,581.0,498.0,415.0,166.0,winter,0
01-01-2024,17:00,1.4,230.5,6.09,491.0,421.0,351.0,140.0,winter,0
01-01-2024,17:15,1.34,226.6,5.91,468.0,401.0,334.0,134.0,winter,0
