Date,Time,Power,Anomaly
08-10-2025,00:00,3.739,0
08-10-2025,00:15,3.775,0
08-10-2025,00:30,11.49,1
08-10-2025,00:45,4.015,0
08-10-2025,01:00,3.337,0
08-10-2025,01:15,3.545,0
08-10-2025,01:30,4.093,0
08-10-2025,01:45,3.653,0
08-10-2025,02:00,4.008,0
08-10-2025,02:15,3.849,0
08-10-2025,02:30,7.34,1
08-10-2025,02:45,4.202,0
08-10-2025,03:00,4.116,0
08-10-2025,03:15,3.313,0
08-10-2025,03:30,3.796,0
08-10-2025,03:45,4.101,0
08-10-2025,04:00,3.611,0
08-10-2025,04:15,4.593,0
08-10-2025,04:30,4.038,0
08-10-2025,04:45,3.429,0
08-10-2025,05:00,3.892,0
08-10-2025,05:15,3.899,0
08-10-2025,05:30,3.97,0
08-10-2025,05:45,4.071,0
08-10-2025,06:00,10.455,0
08-10-2025,06:15,10.147,0
08-10-2025,06:30,1.18,1
08-10-2025,06:45,10.438,0
08-10-2025,07:00,10.012,0
08-10-2025,07:15,10.205,0
08-10-2025,07:30,10.44,0
08-10-2025,07:45,10.011,0
08-10-2025,08:00,14.057,0
08-10-2025,08:15,13.65,0
08-10-2025,08:30,13.942,0
08-10-2025,08:45,14.19,0
08-10-2025,09:00,13.559,0
08-10-2025,09:15,13.833,0
08-10-2025,09:30,13.736,0
08-10-2025,09:45,14.013,0
08-10-2025,10:00,13.713,0
08-10-2025,10:15,13.914,0
08-10-2025,10:30,13.625,0
08-10-2025,10:45,1.723,1
08-10-2025,11:00,13.587,0
08-10-2025,11:15,13.932,0
08-10-2025,11:30,13.913,0
08-10-2025,11:45,13.623,0
08-10-2025,12:00,11.23,0
08-10-2025,12:15,11.538,0
08-10-2025,12:30,11.83,0
08-10-2025,12:45,11.271,0
08-10-2025,13:00,11.249,0
08-10-2025,13:15,11.575,0
08-10-2025,13:30,11.701,0
08-10-2025,13:45,11.709,0
08-10-2025,14:00,9.299,0
08-10-2025,14:15,8.94,0
08-10-2025,14:30,9.01,0
08-10-2025,14:45,9.197,0
08-10-2025,15:00,9.193,0
08-10-2025,15:15,9.535,0
08-10-2025,15:30,9.36,0
08-10-2025,15:45,9.49,0
08-10-2025,16:00,9.452,0
08-10-2025,16:15,9.291,0
08-10-2025,16:30,9.468,0
08-10-2025,16:45,9.34,0
08-10-2025,17:00,9.158,0
08-10-2025,17:15,8.889,0
08-10-2025,17:30,9.891,0
08-10-2025,17:45,9.52,0
08-10-2025,18:00,15.403,0
08-10-2025,18:15,15.366,0
08-10-2025,18:30,15.164,0
08-10-2025,18:45,16.283,0
08-10-2025,19:00,15.508,0
08-10-2025,19:15,2.202,1
08-10-2025,19:30,15.765,0
08-10-2025,19:45,15.292,0
08-10-2025,20:00,14.824,0
08-10-2025,20:15,14.859,0
08-10-2025,20:30,15.207,0
08-10-2025,20:45,15.464,0
08-10-2025,21:00,15.531,0
08-10-2025,21:15,15.538,0
08-10-2025,21:30,15.278,0
08-10-2025,21:45,15.147,0
08-10-2025,22:00,4.685,0
08-10-2025,22:15,4.098,0
08-10-2025,22:30,4.424,0
08-10-2025,22:45,4.201,0
08-10-2025,23:00,4.698,0
08-10-2025,23:15,4.705,0
08-10-2025,23:30,4.427,0
08-10-2025,23:45,4.808,0
09-10-2025,00:00,4.05,0
09-10-2025,00:15,3.872,0
09-10-2025,00:30,3.409,0
09-10-2025,00:45,3.57,0
09-10-2025,01:00,4.101,0
09-10-2025,01:15,3.857,0
09-10-2025,01:30,3.37,0
09-10-2025,01:45,3.95,0
09-10-2025,02:00,3.775,0
09-10-2025,02:15,3.812,0
09-10-2025,02:30,3.793,0
09-10-2025,02:45,3.459,0
09-10-2025,03:00,3.844,0
09-10-2025,03:15,4.038,0
09-10-2025,03:30,4.086,0
09-10-2025,03:45,3.827,0
09-10-2025,04:00,3.934,0
09-10-2025,04:15,3.771,0
09-10-2025,04:30,3.23,0
09-10-2025,04:45,3.635,0
09-10-2025,05:00,3.647,0
09-10-2025,05:15,3.948,0
09-10-2025,05:30,3.697,0
09-10-2025,05:45,3.518,0
09-10-2025,06:00,9.829,0
09-10-2025,06:15,10.199,0
09-10-2025,06:30,10.268,0
09-10-2025,06:45,9.61,0
09-10-2025,07:00,10.591,0
09-10-2025,07:15,9.924,0
09-10-2025,07:30,9.855,0
09-10-2025,07:45,9.981,0
09-10-2025,08:00,13.453,0
09-10-2025,08:15,13.904,0
09-10-2025,08:30,13.712,0
09-10-2025,08:45,13.872,0
09-10-2025,09:00,13.653,0
09-10-2025,09:15,13.356,0
09-10-2025,09:30,14.142,0
09-10-2025,09:45,14.169,0
09-10-2025,10:00,14.102,0
09-10-2025,10:15,13.863,0
09-10-2025,10:30,13.973,0
09-10-2025,10:45,14.125,0
09-10-2025,11:00,14.077,0
09-10-2025,11:15,13.858,0
09-10-2025,11:30,13.968,0
09-10-2025,11:45,13.919,0
09-10-2025,12:00,11.84,0
09-10-2025,12:15,11.326,0
09-10-2025,12:30,11.636,0
09-10-2025,12:45,11.254,0
09-10-2025,13:00,11.632,0
09-10-2025,13:15,11.255,0
09-10-2025,13:30,11.388,0
09-10-2025,13:45,11.234,0
09-10-2025,14:00,9.404,0
09-10-2025,14:15,9.229,0
09-10-2025,14:30,1.356,1
09-10-2025,14:45,9.466,0
09-10-2025,15:00,9.343,0
09-10-2025,15:15,9.22,0
09-10-2025,15:30,8.887,0
09-10-2025,15:45,9.412,0
09-10-2025,16:00,9.306,0
09-10-2025,16:15,9.357,0
09-10-2025,16:30,9.422,0
09-10-2025,16:45,9.049,0
09-10-2025,17:00,9.245,0
09-10-2025,17:15,8.928,0
09-10-2025,17:30,9.069,0
09-10-2025,17:45,9.279,0
09-10-2025,18:00,15.473,0
09-10-2025,18:15,15.824,0
09-10-2025,18:30,15.369,0
09-10-2025,18:45,15.527,0
09-10-2025,19:00,15.257,0
09-10-2025,19:15,15.354,0
09-10-2025,19:30,15.027,0
09-10-2025,19:45,15.548,0
09-10-2025,20:00,15.328,0
09-10-2025,20:15,15.387,0
09-10-2025,20:30,14.884,0
09-10-2025,20:45,15.431,0
09-10-2025,21:00,14.927,0
09-10-2025,21:15,15.345,0
09-10-2025,21:30,15.336,0
09-10-2025,21:45,15.388,0
09-10-2025,22:00,4.881,0
09-10-2025,22:15,4.581,0
09-10-2025,22:30,4.095,0
09-10-2025,22:45,5.165,0
09-10-2025,23:00,4.489,0
09-10-2025,23:15,4.735,0
09-10-2025,23:30,4.354,0
09-10-2025,23:45,4.934,0
10-10-2025,00:00,3.688,0
10-10-2025,00:15,4.163,0
10-10-2025,00:30,3.967,0
10-10-2025,00:45,4.262,0
10-10-2025,01:00,4.083,0
10-10-2025,01:15,4.17,0
10-10-2025,01:30,3.554,0
10-10-2025,01:45,3.698,0
10-10-2025,02:00,3.93,0
10-10-2025,02:15,3.544,0
10-10-2025,02:30,3.712,0
10-10-2025,02:45,4.076,0
10-10-2025,03:00,3.569,0
10-10-2025,03:15,3.682,0
10-10-2025,03:30,3.669,0
10-10-2025,03:45,3.791,0
10-10-2025,04:00,4.152,0
10-10-2025,04:15,3.648,0
10-10-2025,04:30,3.929,0
10-10-2025,04:45,4.207,0
10-10-2025,05:00,4.112,0
10-10-2025,05:15,3.794,0
10-10-2025,05:30,3.85,0
10-10-2025,05:45,4.268,0
10-10-2025,06:00,9.598,0
10-10-2025,06:15,10.272,0
10-10-2025,06:30,9.878,0
10-10-2025,06:45,9.775,0
10-10-2025,07:00,10.133,0
10-10-2025,07:15,9.436,0
10-10-2025,07:30,10.212,0
10-10-2025,07:45,9.772,0
10-10-2025,08:00,14.208,0
10-10-2025,08:15,14.067,0
10-10-2025,08:30,13.967,0
10-10-2025,08:45,14.153,0
10-10-2025,09:00,14.182,0
10-10-2025,09:15,13.832,0
10-10-2025,09:30,13.884,0
10-10-2025,09:45,13.926,0
10-10-2025,10:00,13.718,0
10-10-2025,10:15,13.484,0
10-10-2025,10:30,14.216,0
10-10-2025,10:45,13.778,0
10-10-2025,11:00,14.242,0
10-10-2025,11:15,13.928,0
10-10-2025,11:30,13.531,0
10-10-2025,11:45,13.931,0
10-10-2025,12:00,11.684,0
10-10-2025,12:15,11.287,0
10-10-2025,12:30,11.632,0
10-10-2025,12:45,11.776,0
10-10-2025,13:00,11.859,0
10-10-2025,13:15,11.442,0
10-10-2025,13:30,11.589,0
10-10-2025,13:45,11.51,0
10-10-2025,14:00,20.412,1
10-10-2025,14:15,9.557,0
10-10-2025,14:30,9.254,0
10-10-2025,14:45,9.274,0
10-10-2025,15:00,9.445,0
10-10-2025,15:15,9.013,0
10-10-2025,15:30,8.748,0
10-10-2025,15:45,9.254,0
10-10-2025,16:00,9.259,0
10-10-2025,16:15,9.767,0
10-10-2025,16:30,9.839,0
10-10-2025,16:45,9.281,0
10-10-2025,17:00,9.135,0
10-10-2025,17:15,8.787,0
10-10-2025,17:30,9.561,0
10-10-2025,17:45,9.118,0
10-10-2025,18:00,15.651,0
10-10-2025,18:15,15.413,0
10-10-2025,18:30,15.105,0
10-10-2025,18:45,15.714,0
10-10-2025,19:00,15.393,0
10-10-2025,19:15,15.363,0
10-10-2025,19:30,15.052,0
10-10-2025,19:45,15.533,0
10-10-2025,20:00,15.919,0
10-10-2025,20:15,15.597,0
10-10-2025,20:30,15.823,0
10-10-2025,20:45,15.769,0
10-10-2025,21:00,15.141,0
10-10-2025,21:15,15.287,0
10-10-2025,21:30,15.247,0
10-10-2025,21:45,15.17,0
10-10-2025,22:00,4.553,0
10-10-2025,22:15,4.907,0
10-10-2025,22:30,4.419,0
10-10-2025,22:45,4.783,0
10-10-2025,23:00,4.526,0
10-10-2025,23:15,4.502,0
10-10-2025,23:30,5.039,0
10-10-2025,23:45,4.558,0
11-10-2025,00:00,3.109,0
11-10-2025,00:15,2.838,0
11-10-2025,00:30,2.395,0
11-10-2025,00:45,2.476,0
11-10-2025,01:00,3.206,0
11-10-2025,01:15,3.468,0
11-10-2025,01:30,2.686,0
11-10-2025,01:45,2.955,0
11-10-2025,02:00,2.484,0
11-10-2025,02:15,2.461,0
11-10-2025,02:30,3.032,0
11-10-2025,02:45,2.652,0
11-10-2025,03:00,2.706,0
11-10-2025,03:15,2.584,0
11-10-2025,03:30,2.464,0
11-10-2025,03:45,3.276,0
11-10-2025,04:00,2.269,0
11-10-2025,04:15,2.521,0
11-10-2025,04:30,2.583,0
11-10-2025,04:45,2.435,0
11-10-2025,05:00,2.807,0
11-10-2025,05:15,3.044,0
11-10-2025,05:30,2.489,0
11-10-2025,05:45,2.809,0
11-10-2025,06:00,7.02,0
11-10-2025,06:15,7.267,0
11-10-2025,06:30,7.505,0
11-10-2025,06:45,7.322,0
11-10-2025,07:00,7.226,0
11-10-2025,07:15,7.459,0
11-10-2025,07:30,7.666,0
11-10-2025,07:45,7.156,0
11-10-2025,08:00,9.802,0
11-10-2025,08:15,10.223,0
11-10-2025,08:30,10.127,0
11-10-2025,08:45,9.621,0
11-10-2025,09:00,10.272,0
11-10-2025,09:15,10.285,0
11-10-2025,09:30,10.153,0
11-10-2025,09:45,10.35,0
11-10-2025,10:00,10.374,0
11-10-2025,10:15,10.053,0
11-10-2025,10:30,9.995,0
11-10-2025,10:45,10.072,0
