Date,Time,Power,Anomaly
08-10-2025,00:00,1.045,0
08-10-2025,00:15,1.181,0
08-10-2025,00:30,1.085,0
08-10-2025,00:45,1.02,0
08-10-2025,01:00,1.192,0
08-10-2025,01:15,1.231,0
08-10-2025,01:30,0.109,1
08-10-2025,01:45,0.924,0
08-10-2025,02:00,1.269,0
08-10-2025,02:15,1.369,0
08-10-2025,02:30,1.196,0
08-10-2025,02:45,1.197,0
08-10-2025,03:00,1.247,0
08-10-2025,03:15,0.921,0
08-10-2025,03:30,1.064,0
08-10-2025,03:45,0.775,0
08-10-2025,04:00,0.872,0
08-10-2025,04:15,0.88,0
08-10-2025,04:30,1.261,0
08-10-2025,04:45,1.127,0
08-10-2025,05:00,0.857,0
08-10-2025,05:15,1.298,0
08-10-2025,05:30,1.227,0
08-10-2025,05:45,1.292,0
08-10-2025,06:00,2.735,0
08-10-2025,06:15,3.122,0
08-10-2025,06:30,2.695,0
08-10-2025,06:45,2.822,0
08-10-2025,07:00,2.683,0
08-10-2025,07:15,2.821,0
08-10-2025,07:30,2.453,0
08-10-2025,07:45,2.722,0
08-10-2025,08:00,2.085,0
08-10-2025,08:15,2.439,0
08-10-2025,08:30,2.1,0
08-10-2025,08:45,2.431,0
08-10-2025,09:00,2.311,0
08-10-2025,09:15,2.302,0
08-10-2025,09:30,2.048,0
08-10-2025,09:45,2.265,0
08-10-2025,10:00,1.93,0
08-10-2025,10:15,2.036,0
08-10-2025,10:30,1.775,0
08-10-2025,10:45,2.424,0
08-10-2025,11:00,1.887,0
08-10-2025,11:15,1.876,0
08-10-2025,11:30,1.853,0
08-10-2025,11:45,2.258,0
08-10-2025,12:00,3.276,0
08-10-2025,12:15,3.374,0
08-10-2025,12:30,3.361,0
08-10-2025,12:45,3.293,0
08-10-2025,13:00,3.276,0
08-10-2025,13:15,3.142,0
08-10-2025,13:30,3.501,0
08-10-2025,13:45,2.953,0
08-10-2025,14:00,2.77,0
08-10-2025,14:15,2.972,0
08-10-2025,14:30,2.493,0
08-10-2025,14:45,2.63,0
08-10-2025,15:00,2.141,0
08-10-2025,15:15,2.646,0
08-10-2025,15:30,2.393,0
08-10-2025,15:45,2.456,0
08-10-2025,16:00,2.552,0
08-10-2025,16:15,2.593,0
08-10-2025,16:30,2.288,0
08-10-2025,16:45,2.572,0
08-10-2025,17:00,2.141,0
08-10-2025,17:15,2.605,0
08-10-2025,17:30,2.616,0
08-10-2025,17:45,2.886,0
08-10-2025,18:00,4.648,0
08-10-2025,18:15,4.144,0
08-10-2025,18:30,4.319,0
08-10-2025,18:45,4.41,0
08-10-2025,19:00,4.154,0
08-10-2025,19:15,4.252,0
08-10-2025,19:30,4.903,0
08-10-2025,19:45,4.766,0
08-10-2025,20:00,4.618,0
08-10-2025,20:15,4.244,0
08-10-2025,20:30,4.302,0
08-10-2025,20:45,4.365,0
08-10-2025,21:00,4.455,0
08-10-2025,21:15,4.399,0
08-10-2025,21:30,4.159,0
08-10-2025,21:45,4.017,0
08-10-2025,22:00,1.406,0
08-10-2025,22:15,1.176,0
08-10-2025,22:30,1.433,0
