Date,Time,Power,Anomaly
08-10-2025,00:00,0.061,0
08-10-2025,00:15,0.05,0
08-10-2025,00:30,0.189,0
08-10-2025,00:45,0.143,0
08-10-2025,01:00,0.05,0
08-10-2025,01:15,0.168,0
08-10-2025,01:30,0.084,0
08-10-2025,01:45,0.069,0
08-10-2025,02:00,0.096,0
08-10-2025,02:15,0.168,0
08-10-2025,02:30,0.05,0
08-10-2025,02:45,0.074,0
08-10-2025,03:00,0.206,0
08-10-2025,03:15,0.05,0
08-10-2025,03:30,0.162,0
08-10-2025,03:45,0.05,0
08-10-2025,04:00,0.201,0
08-10-2025,04:15,0.05,0
08-10-2025,04:30,0.082,0
08-10-2025,04:45,0.184,0
08-10-2025,05:00,0.205,0
08-10-2025,05:15,0.261,0
08-10-2025,05:30,0.05,0
08-10-2025,05:45,0.05,0
08-10-2025,06:00,0.23,0
08-10-2025,06:15,0.213,0
08-10-2025,06:30,0.204,0
08-10-2025,06:45,0.147,0
08-10-2025,07:00,0.158,0
08-10-2025,07:15,0.351,0
08-10-2025,07:30,0.364,0
08-10-2025,07:45,0.296,0
08-10-2025,08:00,0.169,0
08-10-2025,08:15,0.136,0
08-10-2025,08:30,0.05,0
08-10-2025,08:45,0.266,0
08-10-2025,09:00,0.201,0
08-10-2025,09:15,0.05,0
08-10-2025,09:30,0.178,0
08-10-2025,09:45,0.234,0
08-10-2025,10:00,0.182,0
08-10-2025,10:15,0.287,0
08-10-2025,10:30,0.178,0
08-10-2025,10:45,0.419,0
08-10-2025,11:00,0.239,0
08-10-2025,11:15,0.133,0
08-10-2025,11:30,0.111,0
08-10-2025,11:45,0.251,0
08-10-2025,12:00,0.22,0
08-10-2025,12:15,0.119,0
08-10-2025,12:30,0.524,0
08-10-2025,12:45,0.195,0
08-10-2025,13:00,0.161,0
08-10-2025,13:15,0.357,0
08-10-2025,13:30,0.191,0
08-10-2025,13:45,0.214,0
08-10-2025,14:00,0.272,0
08-10-2025,14:15,0.324,0
08-10-2025,14:30,0.146,0
08-10-2025,14:45,0.117,0
08-10-2025,15:00,0.109,0
08-10-2025,15:15,0.284,0
08-10-2025,15:30,0.361,0
08-10-2025,15:45,0.242,0
08-10-2025,16:00,0.109,0
08-10-2025,16:15,0.539,0
08-10-2025,16:30,0.187,0
08-10-2025,16:45,0.285,0
08-10-2025,17:00,0.237,0
08-10-2025,17:15,0.299,0
08-10-2025,17:30,0.283,0
08-10-2025,17:45,0.818,1
08-10-2025,18:00,0.494,0
08-10-2025,18:15,0.316,0
08-10-2025,18:30,0.234,0
08-10-2025,18:45,0.449,0
08-10-2025,19:00,0.298,0
08-10-2025,19:15,0.403,0
08-10-2025,19:30,0.413,0
08-10-2025,19:45,0.394,0
08-10-2025,20:00,0.463,0
08-10-2025,20:15,0.522,0
08-10-2025,20:30,0.265,0
08-10-2025,20:45,0.354,0
08-10-2025,21:00,0.582,0
08-10-2025,21:15,0.413,0
08-10-2025,21:30,0.359,0
08-10-2025,21:45,0.263,0
08-10-2025,22:00,0.239,0
08-10-2025,22:15,0.059,0
08-10-2025,22:30,0.182,0
08-10-2025,22:45,0.114,0
08-10-2025,23:00,0.05,0
08-10-2025,23:15,0.21,0
08-10-2025,23:30,0.253,0
08-10-2025,23:45,0.186,0
09-10-2025,00:00,0.069,0
09-10-2025,00:15,0.085,0
09-10-2025,00:30,0.208,0
09-10-2025,00:45,0.074,0
09-10-2025,01:00,0.088,0
09-10-2025,01:15,0.088,0
09-10-2025,01:30,0.067,0
09-10-2025,01:45,0.05,0
09-10-2025,02:00,0.148,0
09-10-2025,02:15,0.014,1
09-10-2025,02:30,0.05,0
