Date,Time,Power,Anomaly
08-10-2025,00:00,0.427,0
08-10-2025,00:15,0.323,0
08-10-2025,00:30,0.28,0
08-10-2025,00:45,0.539,0
08-10-2025,01:00,0.465,0
08-10-2025,01:15,0.384,0
08-10-2025,01:30,0.296,0
08-10-2025,01:45,0.324,0
08-10-2025,02:00,0.172,0
08-10-2025,02:15,0.535,0
08-10-2025,02:30,0.406,0
08-10-2025,02:45,0.259,0
08-10-2025,03:00,0.548,0
08-10-2025,03:15,0.488,0
08-10-2025,03:30,0.211,0
08-10-2025,03:45,0.255,0
08-10-2025,04:00,0.58,0
08-10-2025,04:15,0.321,0
08-10-2025,04:30,0.428,0
08-10-2025,04:45,0.223,0
08-10-2025,05:00,0.279,0
08-10-2025,05:15,0.376,0
08-10-2025,05:30,0.433,0
08-10-2025,05:45,0.267,0
08-10-2025,06:00,0.977,0
08-10-2025,06:15,1.444,0
08-10-2025,06:30,2.467,1
08-10-2025,06:45,1.054,0
08-10-2025,07:00,1.078,0
08-10-2025,07:15,1.02,0
08-10-2025,07:30,1.041,0
08-10-2025,07:45,0.995,0
08-10-2025,08:00,0.881,0
08-10-2025,08:15,0.805,0
08-10-2025,08:30,0.998,0
08-10-2025,08:45,0.693,0
08-10-2025,09:00,0.631,0
08-10-2025,09:15,0.564,0
08-10-2025,09:30,0.809,0
08-10-2025,09:45,0.863,0
08-10-2025,10:00,0.73,0
08-10-2025,10:15,0.968,0
08-10-2025,10:30,0.487,0
08-10-2025,10:45,0.879,0
08-10-2025,11:00,0.577,0
08-10-2025,11:15,0.655,0
08-10-2025,11:30,0.589,0
08-10-2025,11:45,0.788,0
08-10-2025,12:00,1.161,0
08-10-2025,12:15,1.002,0
08-10-2025,12:30,1.084,0
08-10-2025,12:45,0.994,0
08-10-2025,13:00,1.161,0
08-10-2025,13:15,1.105,0
08-10-2025,13:30,1.286,0
08-10-2025,13:45,1.33,0
08-10-2025,14:00,1.253,0
08-10-2025,14:15,1.003,0
08-10-2025,14:30,0.966,0
08-10-2025,14:45,1.077,0
08-10-2025,15:00,0.959,0
08-10-2025,15:15,1.034,0
08-10-2025,15:30,0.983,0
08-10-2025,15:45,0.784,0
08-10-2025,16:00,0.137,1
08-10-2025,16:15,0.819,0
08-10-2025,16:30,1.099,0
08-10-2025,16:45,1.129,0
08-10-2025,17:00,0.743,0
08-10-2025,17:15,0.829,0
08-10-2025,17:30,0.837,0
08-10-2025,17:45,1.168,0
08-10-2025,18:00,1.59,0
08-10-2025,18:15,1.608,0
08-10-2025,18:30,1.533,0
08-10-2025,18:45,1.556,0
08-10-2025,19:00,1.367,0
08-10-2025,19:15,1.519,0
08-10-2025,19:30,1.371,0
08-10-2025,19:45,1.579,0
08-10-2025,20:00,1.346,0
08-10-2025,20:15,1.682,0
08-10-2025,20:30,1.458,0
08-10-2025,20:45,1.446,0
08-10-2025,21:00,1.576,0
08-10-2025,21:15,0.291,1
08-10-2025,21:30,1.667,0
08-10-2025,21:45,1.478,0
08-10-2025,22:00,0.127,0
08-10-2025,22:15,0.503,0
08-10-2025,22:30,0.492,0
08-10-2025,22:45,0.074,1
08-10-2025,23:00,0.4,0
08-10-2025,23:15,0.801,0
08-10-2025,23:30,0.406,0
08-10-2025,23:45,0.614,0
09-10-2025,00:00,0.342,0
09-10-2025,00:15,0.359,0
09-10-2025,00:30,0.273,0
09-10-2025,00:45,1.017,1
09-10-2025,01:00,0.123,0
09-10-2025,01:15,0.223,0
09-10-2025,01:30,0.53,0
09-10-2025,01:45,0.45,0
09-10-2025,02:00,0.441,0
09-10-2025,02:15,0.428,0
09-10-2025,02:30,0.43,0
09-10-2025,02:45,0.578,0
09-10-2025,03:00,0.424,0
09-10-2025,03:15,0.397,0
09-10-2025,03:30,0.373,0
09-10-2025,03:45,0.611,0
09-10-2025,04:00,0.337,0
09-10-2025,04:15,0.315,0
09-10-2025,04:30,0.05,0
09-10-2025,04:45,0.218,0
09-10-2025,05:00,0.29,0
09-10-2025,05:15,0.366,0
09-10-2025,05:30,0.048,1
09-10-2025,05:45,0.689,0
09-10-2025,06:00,0.978,0
09-10-2025,06:15,1.241,0
09-10-2025,06:30,0.796,0
09-10-2025,06:45,1.018,0
09-10-2025,07:00,1.057,0
09-10-2025,07:15,1.076,0
09-10-2025,07:30,0.885,0
09-10-2025,07:45,1.217,0
09-10-2025,08:00,0.608,0
09-10-2025,08:15,0.907,0
09-10-2025,08:30,0.728,0
09-10-2025,08:45,0.727,0
09-10-2025,09:00,0.888,0
09-10-2025,09:15,0.932,0
09-10-2025,09:30,0.911,0
09-10-2025,09:45,0.969,0
09-10-2025,10:00,0.849,0
09-10-2025,10:15,0.808,0
09-10-2025,10:30,0.595,0
09-10-2025,10:45,0.141,1
09-10-2025,11:00,1.018,0
09-10-2025,11:15,0.726,0
09-10-2025,11:30,0.98,0
09-10-2025,11:45,0.702,0
09-10-2025,12:00,1.28,0
09-10-2025,12:15,1.152,0
09-10-2025,12:30,1.376,0
09-10-2025,12:45,1.263,0
09-10-2025,13:00,1.102,0
09-10-2025,13:15,1.172,0
09-10-2025,13:30,1.172,0
09-10-2025,13:45,0.978,0
09-10-2025,14:00,0.992,0
09-10-2025,14:15,0.955,0
09-10-2025,14:30,0.972,0
09-10-2025,14:45,1.029,0
09-10-2025,15:00,0.829,0
09-10-2025,15:15,1.228,0
09-10-2025,15:30,0.869,0
09-10-2025,15:45,1.081,0
09-10-2025,16:00,0.985,0
09-10-2025,16:15,0.884,0
09-10-2025,16:30,0.953,0
09-10-2025,16:45,1.221,0
09-10-2025,17:00,1.175,0
09-10-2025,17:15,0.888,0
09-10-2025,17:30,1.107,0
09-10-2025,17:45,0.906,0
09-10-2025,18:00,1.509,0
09-10-2025,18:15,1.709,0
09-10-2025,18:30,1.468,0
09-10-2025,18:45,1.32,0
09-10-2025,19:00,1.657,0
09-10-2025,19:15,1.666,0
09-10-2025,19:30,1.738,0
09-10-2025,19:45,1.667,0
09-10-2025,20:00,1.679,0
09-10-2025,20:15,1.382,0
09-10-2025,20:30,1.772,0
09-10-2025,20:45,1.791,0
09-10-2025,21:00,1.868,0
09-10-2025,21:15,1.244,0
09-10-2025,21:30,1.505,0
09-10-2025,21:45,1.56,0
09-10-2025,22:00,0.297,0
09-10-2025,22:15,0.427,0
09-10-2025,22:30,0.597,0
09-10-2025,22:45,0.781,0
09-10-2025,23:00,0.615,0
09-10-2025,23:15,0.3,0
09-10-2025,23:30,0.533,0
09-10-2025,23:45,0.635,0
10-10-2025,00:00,0.172,0
10-10-2025,00:15,0.579,0
10-10-2025,00:30,0.367,0
10-10-2025,00:45,0.265,0
10-10-2025,01:00,0.54,0
10-10-2025,01:15,0.297,0
10-10-2025,01:30,0.751,0
10-10-2025,01:45,0.212,0
10-10-2025,02:00,0.718,0
10-10-2025,02:15,0.366,0
10-10-2025,02:30,0.512,0
10-10-2025,02:45,0.417,0
10-10-2025,03:00,0.208,0
10-10-2025,03:15,0.497,0
10-10-2025,03:30,0.359,0
10-10-2025,03:45,0.405,0
10-10-2025,04:00,0.339,0
10-10-2025,04:15,0.296,0
10-10-2025,04:30,0.517,0
10-10-2025,04:45,0.319,0
10-10-2025,05:00,0.618,0
10-10-2025,05:15,0.161,0
10-10-2025,05:30,1.231,1
10-10-2025,05:45,0.607,0
10-10-2025,06:00,1.018,0
10-10-2025,06:15,1.145,0
10-10-2025,06:30,0.933,0
10-10-2025,06:45,3.464,1
10-10-2025,07:00,1.147,0
10-10-2025,07:15,0.85,0
10-10-2025,07:30,1.108,0
10-10-2025,07:45,0.932,0
10-10-2025,08:00,0.911,0
10-10-2025,08:15,0.889,0
10-10-2025,08:30,0.668,0
10-10-2025,08:45,1.005,0
10-10-2025,09:00,0.715,0
10-10-2025,09:15,0.648,0
10-10-2025,09:30,0.76,0
10-10-2025,09:45,0.576,0
10-10-2025,10:00,0.841,0
10-10-2025,10:15,0.726,0
10-10-2025,10:30,0.521,0
10-10-2025,10:45,0.534,0
10-10-2025,11:00,0.872,0
10-10-2025,11:15,0.671,0
10-10-2025,11:30,0.669,0
10-10-2025,11:45,0.729,0
10-10-2025,12:00,1.232,0
10-10-2025,12:15,0.935,0
10-10-2025,12:30,1.439,0
10-10-2025,12:45,1.084,0
10-10-2025,13:00,1.074,0
10-10-2025,13:15,1.179,0
10-10-2025,13:30,1.323,0
10-10-2025,13:45,1.006,0
10-10-2025,14:00,0.926,0
10-10-2025,14:15,0.808,0
10-10-2025,14:30,0.742,0
10-10-2025,14:45,1.133,0
10-10-2025,15:00,0.924,0
10-10-2025,15:15,1.157,0
10-10-2025,15:30,0.87,0
10-10-2025,15:45,1.099,0
10-10-2025,16:00,1.195,0
10-10-2025,16:15,0.753,0
10-10-2025,16:30,0.916,0
10-10-2025,16:45,0.808,0
10-10-2025,17:00,0.876,0
10-10-2025,17:15,0.886,0
10-10-2025,17:30,1.01,0
10-10-2025,17:45,0.91,0
10-10-2025,18:00,1.732,0
10-10-2025,18:15,1.653,0
10-10-2025,18:30,1.894,0
10-10-2025,18:45,1.822,0
10-10-2025,19:00,1.666,0
10-10-2025,19:15,1.514,0
10-10-2025,19:30,1.678,0
10-10-2025,19:45,1.725,0
10-10-2025,20:00,1.487,0
10-10-2025,20:15,1.486,0
10-10-2025,20:30,1.697,0
10-10-2025,20:45,1.557,0
10-10-2025,21:00,1.582,0
10-10-2025,21:15,1.79,0
10-10-2025,21:30,1.443,0
10-10-2025,21:45,1.591,0
10-10-2025,22:00,0.442,0
10-10-2025,22:15,0.225,0
10-10-2025,22:30,0.6,0
10-10-2025,22:45,0.486,0
10-10-2025,23:00,0.486,0
10-10-2025,23:15,0.339,0
10-10-2025,23:30,0.65,0
10-10-2025,23:45,0.65,0
11-10-2025,00:00,0.118,0
11-10-2025,00:15,0.24,0
11-10-2025,00:30,0.183,0
11-10-2025,00:45,0.425,0
11-10-2025,01:00,0.159,0
11-10-2025,01:15,0.235,0
11-10-2025,01:30,0.299,0
11-10-2025,01:45,0.474,0
11-10-2025,02:00,0.457,0
11-10-2025,02:15,0.256,0
11-10-2025,02:30,0.27,0
11-10-2025,02:45,0.127,0
11-10-2025,03:00,0.347,0
11-10-2025,03:15,0.159,0
11-10-2025,03:30,0.206,0
11-10-2025,03:45,0.459,0
11-10-2025,04:00,0.367,0
11-10-2025,04:15,0.093,0
11-10-2025,04:30,0.144,0
11-10-2025,04:45,0.346,0
11-10-2025,05:00,0.259,0
11-10-2025,05:15,0.05,0
11-10-2025,05:30,0.371,0
11-10-2025,05:45,0.173,0
11-10-2025,06:00,0.638,0
11-10-2025,06:15,0.489,0
11-10-2025,06:30,1.042,0
11-10-2025,06:45,0.774,0
11-10-2025,07:00,0.615,0
11-10-2025,07:15,0.718,0
11-10-2025,07:30,0.478,0
11-10-2025,07:45,0.439,0
11-10-2025,08:00,0.663,0
11-10-2025,08:15,0.597,0
11-10-2025,08:30,0.491,0
11-10-2025,08:45,0.746,0
11-10-2025,09:00,0.243,0
11-10-2025,09:15,0.839,0
11-10-2025,09:30,0.451,0
11-10-2025,09:45,0.541,0
11-10-2025,10:00,0.119,1
11-10-2025,10:15,0.611,0
11-10-2025,10:30,0.452,0
11-10-2025,10:45,0.639,0
11-10-2025,11:00,0.354,0
11-10-2025,11:15,0.66,0
11-10-2025,11:30,0.637,0
11-10-2025,11:45,0.306,0
11-10-2025,12:00,0.814,0
11-10-2025,12:15,1.024,0
11-10-2025,12:30,0.859,0
11-10-2025,12:45,0.766,0
11-10-2025,13:00,0.841,0
11-10-2025,13:15,0.902,0
11-10-2025,13:30,0.948,0
11-10-2025,13:45,0.893,0
11-10-2025,14:00,0.733,0
11-10-2025,14:15,0.649,0
11-10-2025,14:30,0.48,0
11-10-2025,14:45,0.613,0
11-10-2025,15:00,0.545,0
11-10-2025,15:15,0.84,0
11-10-2025,15:30,0.517,0
11-10-2025,15:45,0.859,0
11-10-2025,16:00,0.593,0
11-10-2025,16:15,1.037,0
11-10-2025,16:30,0.686,0
11-10-2025,16:45,0.613,0
11-10-2025,17:00,0.687,0
11-10-2025,17:15,0.738,0
11-10-2025,17:30,0.775,0
11-10-2025,17:45,0.626,0
11-10-2025,18:00,1.106,0
11-10-2025,18:15,1.151,0
11-10-2025,18:30,1.213,0
11-10-2025,18:45,0.961,0
11-10-2025,19:00,1.119,0
11-10-2025,19:15,1.499,0
11-10-2025,19:30,1.222,0
11-10-2025,19:45,1.045,0
11-10-2025,20:00,1.028,0
11-10-2025,20:15,4.244,1
11-10-2025,20:30,1.289,0
11-10-2025,20:45,1.041,0
11-10-2025,21:00,1.037,0
11-10-2025,21:15,1.097,0
11-10-2025,21:30,1.093,0
11-10-2025,21:45,1.197,0
11-10-2025,22:00,0.173,0
11-10-2025,22:15,0.169,0
11-10-2025,22:30,0.355,0
11-10-2025,22:45,0.657,0
11-10-2025,23:00,0.641,0
11-10-2025,23:15,0.546,0
11-10-2025,23:30,0.26,0
11-10-2025,23:45,0.28,0
12-10-2025,00:00,0.388,0
12-10-2025,00:15,0.299,0
12-10-2025,00:30,0.05,0
12-10-2025,00:45,0.185,0
12-10-2025,01:00,0.232,0
12-10-2025,01:15,0.549,0
12-10-2025,01:30,0.395,0
12-10-2025,01:45,0.358,0
12-10-2025,02:00,0.415,0
12-10-2025,02:15,0.47,0
12-10-2025,02:30,0.448,0
12-10-2025,02:45,0.195,0
12-10-2025,03:00,0.332,0
12-10-2025,03:15,0.342,0
12-10-2025,03:30,0.239,0
12-10-2025,03:45,0.344,0
12-10-2025,04:00,0.34,0
12-10-2025,04:15,0.488,0
12-10-2025,04:30,0.251,0
12-10-2025,04:45,0.351,0
12-10-2025,05:00,0.515,0
12-10-2025,05:15,0.092,1
12-10-2025,05:30,0.248,0
12-10-2025,05:45,0.158,0
12-10-2025,06:00,1.869,1
12-10-2025,06:15,0.667,0
12-10-2025,06:30,1.007,0
12-10-2025,06:45,0.715,0
12-10-2025,07:00,0.721,0
12-10-2025,07:15,0.786,0
12-10-2025,07:30,0.655,0
12-10-2025,07:45,0.911,0
12-10-2025,08:00,0.32,0
12-10-2025,08:15,0.621,0
12-10-2025,08:30,0.377,0
12-10-2025,08:45,0.82,0
12-10-2025,09:00,0.596,0
12-10-2025,09:15,0.728,0
12-10-2025,09:30,0.585,0
12-10-2025,09:45,0.621,0
12-10-2025,10:00,0.666,0
12-10-2025,10:15,0.575,0
12-10-2025,10:30,0.535,0
12-10-2025,10:45,0.319,0
12-10-2025,11:00,0.45,0
12-10-2025,11:15,0.659,0
12-10-2025,11:30,0.401,0
12-10-2025,11:45,0.298,0
12-10-2025,12:00,0.861,0
12-10-2025,12:15,0.976,0
12-10-2025,12:30,0.628,0
12-10-2025,12:45,1.002,0
12-10-2025,13:00,1.085,0
12-10-2025,13:15,0.77,0
12-10-2025,13:30,0.97,0
12-10-2025,13:45,0.598,0
12-10-2025,14:00,0.656,0
12-10-2025,14:15,0.436,0
12-10-2025,14:30,0.767,0
12-10-2025,14:45,0.823,0
12-10-2025,15:00,0.981,0
12-10-2025,15:15,0.765,0
12-10-2025,15:30,0.675,0
12-10-2025,15:45,0.862,0
12-10-2025,16:00,0.669,0
12-10-2025,16:15,0.42,0
12-10-2025,16:30,0.516,0
12-10-2025,16:45,0.06,1
12-10-2025,17:00,0.72,0
12-10-2025,17:15,0.942,0
